ID_SCUOLA;CODICE_SCUOLA;DENOMINAZIONE;TIPO_SCUOLA;ENTE;REGIONE;PROVINCIA;COMUNE;CAP;INDIRIZZO;TELEFONO;LIVELLO_FUNZIONALE;CODICE_SCUOLA_RIFERIMENTO;TIPOLOGIA;TIPOLOGIA_SEDE;PARITA;CODICE_ISTAT;
510;BATD12050L;A. MORO  (CORSO SERALE);ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRANI;70059;VIA GRAN BRETAGNA;;CORSO SERALE;BATD120007;SS;;;110009;
523;BATD180508;E. CARAFA - SERALE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;ANDRIA;76123;VIA BISCEGLIE;0883 541112;CORSO SERALE;BATD18000V;SS;;;110001;
552;BATF07001P;I.T.I.S. E.FERMI;ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SPINAZZOLA;70058;VIA MADONNA DELLA CROCE;0883 681233;;BATF07000N;SS;;;110008;
561;BATL03050R;PIER LUIGI NERVI (CORSO SERALE);ISTITUTO TECNICO PER GEOMETRI;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;BARLETTA;76121;VIA MADONNA DELLA CROCE - POLIVALENTE;0883 522277;CORSO SERALE;BATL03000B;SS;;;110002;
11630;FGTF02301D;I.T.I.S. M. DELL'AQUILA;ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;;;;;FGIS023001;;;;110007;
1917;FGRI02301L;IST. PROF.LE INDUSTRIA E ARTIGIANATO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;71046;VIA PIANTATA, 40;;;FGIS023001;SS;;;110007;
1898;FGRC02301X;IST. PROF. PER I SERV. COMM. E TURISTICI;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;71046;VIA PIANTATA, 40;;;FGIS023001;SS;;;110007;
1950;FGTD023017;IGNAZIO SILONE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;71046;VIA PIANTATA, 40;0883 761066;;FGIS023001;SS;;;110007;
11841;FGSL02602R;S. STAFFA;LICEO ARTISTICO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRINITAPOLI;;;;;FGIS02600C;;;;110010;
1900;FGRC02601B;IST. PROF. PER I SERVIZI COMM. E TUR.;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRINITAPOLI;71049;VIA CAPPUCCINI, 23;0883 632618;;FGIS02600C;SS;;;110010;
1873;FGPC02601Q;SCIPIONE STAFFA;LICEO CLASSICO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRINITAPOLI;71049;VIA CAPPUCCINI,23;0883 636007;;FGIS02600C;SS;;;110010;
1920;FGRI026014;ISTITUTO PROF.LE INDUSTRIA E ARTIGIANATO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRINITAPOLI;71049;VIA ZARA;0883 635098;;FGIS02600C;SS;;;110010;
1890;FGPS04901G;ALDO MORO;LICEO SCIENTIFICO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;MARGHERITA DI SAVOIA;71044;VIA VANVITELLI, 1 (EX VIA VITTORIO VENETO, 88/B);0883 3655600;;FGIS049005;SS;;;110005;
12579;FGTF04901N;ALDO MORO;ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;MARGHERITA DI SAVOIA;71044;VIA VANVITELLI, 1;0883655600;;FGIS049005;;;;110005;
11840;FGRH070503;IST.PROF.ST.SERV.ENOGASTR.OSPIT.ALBERGH. (CORSO SERALE);ISTITUTO PROFESSIONALE PER I SERVIZI ALBERGHIERI E RISTORAZIONE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;MARGHERITA DI SAVOIA;;VIA VANVITELLI, 1;;CORSO SERALE;FGRH07000N;;;;110005;
