ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
S07;Scuola Superiore per Mediatori Linguistici di Padova;Non Statale;;;028060;PADOVA;PD;SSML - LING;Decreto di conferma del riconoscimento 24/09/2003 G.U. n. 239 del 14/10/2003;;
S08;Scuola Superiore per Mediatori Linguistici di Palermo;Non Statale;;;082053;PALERMO;PA;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 199 del 28/08/2003;;
S09;Scuola Superiore per Mediatori Linguistici di Perugia;Non Statale;;;054039;PERUGIA;PG;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 203 del 02/09/2003;;
S10;Scuola Superiore per Mediatori Linguistici di Pisa;Non Statale;;;050026;PISA;PI;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 203 del 02/09/2003;;
S11;Scuola Superiore per Mediatori Linguistici di Cagliari;Non Statale;;;092051;QUARTU SANT'ELENA;CA;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 198 del 27/08/2003;;
S12;Scuola Superiore per Mediatori Linguistici di Reggio Calabria;Non Statale;;;080063;REGGIO DI CALABRIA;RC;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 207 del 06/09/2003;;
S13;Scuola Superiore per Mediatori Linguistici di Roma;Non Statale;;;058091;ROMA;RM;SSML - LING;Decreto di conferma del riconoscimento 24/09/2003 G.U. n. 239 del 14/10/2003;;
S14;Scuola Superiore per Mediatori Linguistici "Gregorio VII";Non Statale;;;058091;ROMA;RM;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 205 del 04/09/2003;;
S15;Scuola Superiore per Mediatori Linguistici di Ostia;Non Statale;;;058091;ROMA;RM;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 194 del 22/08/2003;;
S16;Scuola Superiore per Mediatori Linguistici "Vittoria";Non Statale;;;001272;TORINO;TO;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 196 del 25/08/2003;;
S17;Scuola Superiore per Mediatori Linguistici di Trento;Non Statale;;;022205;TRENTO;TN;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 203 del 02/09/2003;;
S18;Scuola Superiore per Mediatori Linguistici di Varese;Non Statale;;;012133;VARESE;VA;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 205 del 04/09/2003;;
S19;Scuola Superiore per Mediatori Linguistici di Vicenza;Non Statale;;;024116;VICENZA;VI;SSML - LING;Decreto di conferma del riconoscimento 24/09/2003 G.U. n. 239 del 14/10/2003;;
S20;Scuola Superiore per Mediatori Linguistici di Ancona;Non Statale;;;042002;ANCONA;AN;SSML - LING;Decreto di conferma del riconoscimento 24/09/2003 G.U. n. 239 del 14.10.2003;;
S21;Scuola Superiore per Mediatori Linguistici "Verbum";Non Statale;;;092051;QUARTU SANT'ELENA;CA;SSML - LING;Decreto di conferma del riconoscimento 31/07/2003 G.U. n. 198 del 27/08/2003;;
S22;Scuola Superiore per Mediatori Linguistici "Academy School";Non Statale;;;063002;AFRAGOLA;NA;SSML - LING;D.D. 21.1.2009 di istituzione pubblicato sulla G.U. n. 39 del 17.2.2009;;
S23;Scuola Superiore per Mediatori Linguistici "Alto Monferrato";Non Statale;;;006055;CAVATORE;AL;SSML - LING;D.D. 12 .11.2007 di istituzione pubblicato su G.U. n.273 del 23.11.2007;;
